name,flow_count,active_fraction,world_size,turn_weight,frames,seed,frame_p50_ms,frame_p99_ms,collect_p50_us,step_p50_us,apply_p50_us,turns_per_sec,turns_completed,flow_anomalies,rss_before_kb,rss_after_kb,rss_delta_kb,cow_copies,arc_clones
wake-idle-detect-0,0,0,0,medium,30,6696299594754542334,0.0537,0.3667,0.0000,0.0000,0.0000,0.00,0,0,34064,34352,288,0,0
wake-idle-detect-100,100,0,0,medium,30,6696299594754542334,0.2215,0.4970,0.0000,0.0000,0.0000,0.00,0,0,34864,35008,144,0,0
wake-idle-detect-1k,1000,0,0,medium,30,6696299594754542334,1.6370,2.0385,0.0000,0.0000,0.0000,0.00,0,0,36336,37104,768,0,0
wake-idle-detect-10k,10000,0,0,medium,30,6696299594754542334,16.4309,18.3335,0.0000,0.0000,0.0000,0.00,0,0,51120,57856,6736,0,0
wake-idle-poll-100,100,0,0,medium,30,6696299594754542334,0.2197,0.5215,0.0000,0.0000,0.0000,0.00,0,0,57888,57888,0,0,0
wake-idle-poll-1k,1000,0,0,medium,30,6696299594754542334,1.6531,1.9936,0.0000,0.0000,0.0000,0.00,0,0,58160,58176,16,0,0
wake-idle-poll-10k,10000,0,0,medium,30,6696299594754542334,16.5331,18.7355,0.0000,0.0000,0.0000,0.00,0,0,64848,64880,32,0,0
wake-100-90to10,100,0.1,0,medium,30,6696299594754542334,0.4907,0.8145,0.0000,285.0840,0.0000,19357.49,300,0,64880,65024,144,0,0
wake-100-99to1,100,0.01,0,medium,30,6696299594754542334,0.2501,0.5192,0.0000,30.7090,0.0000,3683.90,30,0,65024,65024,0,0,0
wake-1k-90to10,1000,0.1,0,medium,30,6696299594754542334,28.5768,29.2108,0.0000,27003.2090,0.0000,3498.29,3000,0,65072,66704,1632,0,0
wake-1k-99to1,1000,0.01,0,medium,30,6696299594754542334,4.3055,4.6505,0.0000,2640.5420,0.0000,2291.48,300,0,66784,66784,0,0,0
wake-10k-90to10,10000,0.1,0,medium,30,6696299594754542334,2690.4288,2766.6014,0.0000,2674987.6250,0.0000,371.01,30000,0,70560,75792,5232,0,0
wake-10k-99to1,10000,0.01,0,medium,30,6696299594754542334,286.3118,288.7269,0.0000,269361.8340,0.0000,349.18,3000,0,80560,76976,-3584,0,0
wake-storm-100,100,0,0,medium,30,6696299594754542334,2.9434,3.3258,0.0000,2722.5840,0.0000,31934.71,1500,0,76976,76976,0,0,0
wake-storm-1k,1000,0,0,medium,30,6696299594754542334,271.0093,279.8139,0.0000,269279.8330,0.0000,3649.33,15000,0,76976,73408,-3568,0,0
